id_type,id,baseline_owner,baseline_semantics,candidate_owner,candidate_semantics,status,action_taken,notes
quest,000927068CCE0DB0,"homestead.snbt: Food That Isn't Raw Chicken / Seasons, Soil and Surplus","title=Seasons, Soil and Surplus; tasks=1289BA180AF135E6; rewards=28805F6B7FEECC1A","homestead.snbt: Cook Something That Isn't Raw Chicken / Seasons, Soil and Surplus","title=Seasons, Soil and Surplus; tasks=1289BA180AF135E6; rewards=28805F6B7FEECC1A",unchanged,preserved baseline definition,
quest,00C8FC2E6DD4F79F,create_projects.snbt: Create Projects: Workshop to Railway / Aquatic Ambitions Starts with Prismarine Materials,title=Aquatic Ambitions Starts with Prismarine Materials; tasks=71F30D43EF89242B; rewards=1488D8E232773EFF,create_projects.snbt: Create: Build Machines With a Point / Aquatic Ambitions Starts with Prismarine Materials,title=Aquatic Ambitions Starts with Prismarine Materials; tasks=71F30D43EF89242B; rewards=1488D8E232773EFF,unchanged,preserved baseline definition,
quest,012874F9C3DFCEA0,create_projects.snbt: Create Projects: Workshop to Railway / Measure Rotation Before Expanding,title=Measure Rotation Before Expanding; tasks=7EEA0AC3C7C5B2E7; rewards=53E2F573C3960FC5,create_projects.snbt: Create: Build Machines With a Point / Measure Rotation Before Expanding,title=Measure Rotation Before Expanding; tasks=7EEA0AC3C7C5B2E7; rewards=53E2F573C3960FC5,unchanged,preserved baseline definition,
quest,01C8D7B4D23503E6,,,new_horizons.snbt: Leave Home Without Losing Home / That Chest Is Yours; Stop Fighting,title=That Chest Is Yours; Stop Fighting; tasks=3332CB3AF9C18E3E; rewards=16675C955AF1468B,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,03AC335757DE4153,"archaeology.snbt: Fossils, Archaeology and Dinosaurs / Brush Carefully",title=Brush Carefully; tasks=3B8A17619C1356C9; rewards=006FF1F29BD7B1AA,"archaeology.snbt: Brush First, Break Nothing / Brush Carefully",title=Brush Carefully; tasks=3B8A17619C1356C9; rewards=006FF1F29BD7B1AA,unchanged,preserved baseline definition,
quest,044BBAC4BEC5CA7F,welcome.snbt: WHERE THE FUCK DO I START? / Your First Backpack,title=Your First Backpack; tasks=44458A420CA44D2C; rewards=6364292EA86DCB9E,"welcome.snbt: START HERE, YOU BEAUTIFUL NOOB / Your First Backpack",title=Your First Backpack; tasks=44458A420CA44D2C; rewards=6364292EA86DCB9E,unchanged,preserved baseline definition,
quest,063A59CCA4DD3620,enchanting_gear.snbt: Enchanting and the Public Armoury / Repair and Rename,title=Repair and Rename; tasks=25216B4213043E60; rewards=466C111B409ED7DF,enchanting_gear.snbt: Wizard Shit Without Wasting 47 Levels / Repair and Rename,title=Repair and Rename; tasks=25216B4213043E60; rewards=466C111B409ED7DF,unchanged,preserved baseline definition,
quest,069B444CF7840537,"homestead_mastery.snbt: Homestead Mastery: Farm, Kitchen and Apiary / Productive Bees: Nests, Cages and Roles","title=Productive Bees: Nests, Cages and Roles; tasks=149889C377A7A2F3; rewards=72C8B7274E5A0018","homestead_mastery.snbt: Farm, Kitchen, Bees: Feed the Damn Server / Productive Bees: Nests, Cages and Roles","title=Productive Bees: Nests, Cages and Roles; tasks=149889C377A7A2F3; rewards=72C8B7274E5A0018",unchanged,preserved baseline definition,
quest,069DD3EFDF3EF83F,create_basics.snbt: Create Without Having a Brain Aneurysm / Create Food Addons: Kitchen to Factory,title=Create Food Addons: Kitchen to Factory; tasks=6CD534112A16F2A1; rewards=4F8E7ADAA685C0A5,create_basics.snbt: Create Without Having a Brain Aneurysm / Create Food Addons: Kitchen to Factory,title=Create Food Addons: Kitchen to Factory; tasks=6CD534112A16F2A1; rewards=4F8E7ADAA685C0A5,unchanged,preserved baseline definition,
quest,0868E133B828D769,create_basics.snbt: Create Without Having a Brain Aneurysm / Saws Cut; Drills Break,title=Saws Cut; Drills Break; tasks=17349F6E066CE7C1; rewards=5DEDE9267D0B9C07,create_basics.snbt: Create Without Having a Brain Aneurysm / Saws Cut; Drills Break,title=Saws Cut; Drills Break; tasks=17349F6E066CE7C1; rewards=5DEDE9267D0B9C07,unchanged,preserved baseline definition,
quest,088F741A5CDAB99B,"create_projects.snbt: Create Projects: Workshop to Railway / Copycats, Deco and Rechiseled Are the Finish Layer","title=Copycats, Deco and Rechiseled Are the Finish Layer; tasks=111268C87B13D27C; rewards=20A9F6357E91CEB2","create_projects.snbt: Create: Build Machines With a Point / Copycats, Deco and Rechiseled Are the Finish Layer","title=Copycats, Deco and Rechiseled Are the Finish Layer; tasks=111268C87B13D27C; rewards=20A9F6357E91CEB2",unchanged,preserved baseline definition,
quest,088F8B0F6B66F3F4,create_projects.snbt: Create Projects: Workshop to Railway / Graduation: Audit the Shared Workshop,title=Graduation: Audit the Shared Workshop; tasks=0254DBF5218EAABD; rewards=61FA2E192BF3BEAF,create_projects.snbt: Create: Build Machines With a Point / Graduation: Audit the Shared Workshop,title=Graduation: Audit the Shared Workshop; tasks=0254DBF5218EAABD; rewards=61FA2E192BF3BEAF,unchanged,preserved baseline definition,
quest,08B4FE3DADF6D411,new_horizons.snbt: Exploration Without Getting Completely Lost / A Structure Is a Signal,title=A Structure Is a Signal; tasks=7427F5993060FEC5; rewards=146CD2EE6C640B2C,new_horizons.snbt: Leave Home Without Losing Home / A Structure Is a Signal,title=A Structure Is a Signal; tasks=7427F5993060FEC5; rewards=146CD2EE6C640B2C,unchanged,preserved baseline definition,
quest,09A4108CD26FE8ED,"dimension_campaigns.snbt: Expedition Campaigns: Aether, Twilight and Beyond / Twilight Branch: Labyrinth, Minoshroom, Hydra","title=Twilight Branch: Labyrinth, Minoshroom, Hydra; tasks=7F56FADEDA2BFBE1; rewards=2E825EC742443126","dimension_campaigns.snbt: Portals, Bosses and Poor Decisions / Twilight Branch: Labyrinth, Minoshroom, Hydra","title=Twilight Branch: Labyrinth, Minoshroom, Hydra; tasks=7F56FADEDA2BFBE1; rewards=2E825EC742443126",unchanged,preserved baseline definition,
quest,09CAEB4B14628764,create_projects.snbt: Create Projects: Workshop to Railway / Packagers Turn Stock into Deliveries,title=Packagers Turn Stock into Deliveries; tasks=4ED95E91C239E294; rewards=4D93066AB0A41A35,create_projects.snbt: Create: Build Machines With a Point / Packagers Turn Stock into Deliveries,title=Packagers Turn Stock into Deliveries; tasks=4ED95E91C239E294; rewards=4D93066AB0A41A35,unchanged,preserved baseline definition,
quest,09CB7E54442B5B87,create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 3: Wrench and Goggles,"title=Lesson 3: Wrench and Goggles; tasks=222410049ACA8FAF,6798439DB9292C20; rewards=05CC913346FB21AB",create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 3: Wrench and Goggles,"title=Lesson 3: Wrench and Goggles; tasks=222410049ACA8FAF,6798439DB9292C20; rewards=05CC913346FB21AB",unchanged,preserved baseline definition,
quest,09CFC052E8CF2070,roadmap.snbt: What Leads Into What? / Exploration Leads to Campaigns,title=Exploration Leads to Campaigns; tasks=733F98C432E21E10; rewards=2437B7D2E02E47AD,roadmap.snbt: Pick a Lane Before You Craft Everything / Exploration Leads to Campaigns,title=Exploration Leads to Campaigns; tasks=733F98C432E21E10; rewards=2437B7D2E02E47AD,unchanged,preserved baseline definition,
quest,0AD1A0CD97148618,"travel_storage.snbt: Stop Living Out of 46 Chests / Packages, Stock Links and Stock Tickers","title=Packages, Stock Links and Stock Tickers; tasks=41B9B2BDD5D57741; rewards=0B92E63ACEEC89A2","travel_storage.snbt: Your 46-Chest Intervention / Packages, Stock Links and Stock Tickers","title=Packages, Stock Links and Stock Tickers; tasks=41B9B2BDD5D57741; rewards=0B92E63ACEEC89A2",unchanged,preserved baseline definition,
quest,0AF13E72B17FFB63,"dimension_campaigns.snbt: Expedition Campaigns: Aether, Twilight and Beyond / Frozen Sea Campaign: Ice Maze and Ship Graveyard",title=Frozen Sea Campaign: Ice Maze and Ship Graveyard; tasks=72AFF19FB2279599; rewards=6E209AFC1BE4A9B4,"dimension_campaigns.snbt: Portals, Bosses and Poor Decisions / Frozen Sea Campaign: Ice Maze and Ship Graveyard",title=Frozen Sea Campaign: Ice Maze and Ship Graveyard; tasks=72AFF19FB2279599; rewards=6E209AFC1BE4A9B4,unchanged,preserved baseline definition,
quest,0B9BA6881B25E26D,"create_projects.snbt: Create Projects: Workshop to Railway / Build Outcomes, Not Machine Collections","title=Build Outcomes, Not Machine Collections; tasks=78214D0D9950081D; rewards=51E1E181581B9F86","create_projects.snbt: Create: Build Machines With a Point / Build Outcomes, Not Machine Collections","title=Build Outcomes, Not Machine Collections; tasks=78214D0D9950081D; rewards=51E1E181581B9F86",unchanged,preserved baseline definition,
quest,0D4B75EF5618911F,homestead.snbt: Food That Isn't Raw Chicken / Create: Central Kitchen,title=Create: Central Kitchen; tasks=2F1D773CED8DB3EB; rewards=372E60A287419E8A,homestead.snbt: Cook Something That Isn't Raw Chicken / Create: Central Kitchen,title=Create: Central Kitchen; tasks=2F1D773CED8DB3EB; rewards=372E60A287419E8A,unchanged,preserved baseline definition,
quest,0D9196F06BAA6EB5,"create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 5: Shafts, Cogs and Gearboxes","title=Lesson 5: Shafts, Cogs and Gearboxes; tasks=0C7C3B7F89B42211,40454898A130D0BC,6C05A6E001DCAC51,7D71B3A14C62C70A; rewards=45515EE63CB0376B","create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 5: Shafts, Cogs and Gearboxes","title=Lesson 5: Shafts, Cogs and Gearboxes; tasks=0C7C3B7F89B42211,40454898A130D0BC,6C05A6E001DCAC51,7D71B3A14C62C70A; rewards=45515EE63CB0376B",unchanged,preserved baseline definition,
quest,0DDB86BC1BAE3C6D,"homestead_mastery.snbt: Homestead Mastery: Farm, Kitchen and Apiary / Run a Pantry, Not a Dump Chest","title=Run a Pantry, Not a Dump Chest; tasks=3915B18A17EC4165; rewards=76BEC70E88F67FAD","homestead_mastery.snbt: Farm, Kitchen, Bees: Feed the Damn Server / Run a Pantry, Not a Dump Chest","title=Run a Pantry, Not a Dump Chest; tasks=3915B18A17EC4165; rewards=76BEC70E88F67FAD",unchanged,preserved baseline definition,
quest,0F4ACB97C803BD86,,,"endgame.snbt: Dangerous Shit, Bigger Consequences / Durability Check: The Least Sexy Lifesaver",title=Durability Check: The Least Sexy Lifesaver; tasks=6D393439DA2D9FB2; rewards=5338FB82CD06535D,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,0F5C0AE2E2539C09,"homestead_mastery.snbt: Homestead Mastery: Farm, Kitchen and Apiary / Three Homestead Loops",title=Three Homestead Loops; tasks=6343C3181F60CF4A; rewards=0DE4DB97FD7C81AF,"homestead_mastery.snbt: Farm, Kitchen, Bees: Feed the Damn Server / Three Homestead Loops",title=Three Homestead Loops; tasks=6343C3181F60CF4A; rewards=0DE4DB97FD7C81AF,unchanged,preserved baseline definition,
quest,11A22EDB82B37413,"welcome.snbt: WHERE THE FUCK DO I START? / One Team, Shared Progress","title=One Team, Shared Progress; tasks=22A7B10105B17F00; rewards=7C1F0DED1A8C6D57","welcome.snbt: START HERE, YOU BEAUTIFUL NOOB / One Team, Shared Progress","title=One Team, Shared Progress; tasks=22A7B10105B17F00; rewards=7C1F0DED1A8C6D57",unchanged,preserved baseline definition,
quest,133E40031AC9FB97,new_horizons.snbt: Exploration Without Getting Completely Lost / Emergency Return Options,"title=Emergency Return Options; tasks=3518C9697533920E,642A91B660A9EE41; rewards=37FC1962BA591161",new_horizons.snbt: Leave Home Without Losing Home / Emergency Return Options,"title=Emergency Return Options; tasks=3518C9697533920E,642A91B660A9EE41; rewards=37FC1962BA591161",unchanged,preserved baseline definition,
quest,13829BF6355D8FAC,"homestead_mastery.snbt: Homestead Mastery: Farm, Kitchen and Apiary / Central Kitchen: Heat and Compatibility",title=Central Kitchen: Heat and Compatibility; tasks=1E023360DB36B1B9; rewards=51B02BD0528660FB,"homestead_mastery.snbt: Farm, Kitchen, Bees: Feed the Damn Server / Central Kitchen: Heat and Compatibility",title=Central Kitchen: Heat and Compatibility; tasks=1E023360DB36B1B9; rewards=51B02BD0528660FB,unchanged,preserved baseline definition,
quest,13E186E1D8309D38,"endgame.snbt: Dangerous Shit and Endgame / Build Nether Roads, Not Breadcrumbs","title=Build Nether Roads, Not Breadcrumbs; tasks=2D0D18002CE09301; rewards=62F89EB794F9FCB8","endgame.snbt: Dangerous Shit, Bigger Consequences / Build Nether Roads, Not Breadcrumbs","title=Build Nether Roads, Not Breadcrumbs; tasks=2D0D18002CE09301; rewards=62F89EB794F9FCB8",unchanged,preserved baseline definition,
quest,145EE14BCE66ADC0,travel_storage.snbt: Stop Living Out of 46 Chests / Store Bulk Materials in Drawers,title=Store Bulk Materials in Drawers; tasks=4C32625B8C64A2EB; rewards=54C6FFDFD877FA80,travel_storage.snbt: Your 46-Chest Intervention / Store Bulk Materials in Drawers,title=Store Bulk Materials in Drawers; tasks=4C32625B8C64A2EB; rewards=54C6FFDFD877FA80,unchanged,preserved baseline definition,
quest,14EC247DD954A406,new_horizons.snbt: Exploration Without Getting Completely Lost / Pack for the Unknown,title=Pack for the Unknown; tasks=65FC87B118651835; rewards=35AC61048A924FE3,new_horizons.snbt: Leave Home Without Losing Home / Pack for the Unknown,title=Pack for the Unknown; tasks=65FC87B118651835; rewards=35AC61048A924FE3,unchanged,preserved baseline definition,
quest,164E82813679E36C,,,travel_storage.snbt: Your 46-Chest Intervention / The Void Upgrade Is Not a Personality Test,title=The Void Upgrade Is Not a Personality Test; tasks=37B8C8FA3974F77A; rewards=77C46136B9430DD9,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,1695AAEBE615E73F,"companions_communities.snbt: Companions, Fishing and Settlements / Feed Troughs and Bounded Animal Care",title=Feed Troughs and Bounded Animal Care; tasks=51AE876F9BB3A96A; rewards=6CB46663F82EEC76,"companions_communities.snbt: Pets, Fish and Villagers With Jobs / Feed Troughs and Bounded Animal Care",title=Feed Troughs and Bounded Animal Care; tasks=51AE876F9BB3A96A; rewards=6CB46663F82EEC76,unchanged,preserved baseline definition,
quest,1725341D3243AFDD,homestead.snbt: Food That Isn't Raw Chicken / A Cook's First Tool,"title=A Cook's First Tool; tasks=47F0A1934DFD4C40; rewards=3A27AE16432C0F16,605DC9041C4FCD99",homestead.snbt: Cook Something That Isn't Raw Chicken / A Cook's First Tool,"title=A Cook's First Tool; tasks=47F0A1934DFD4C40; rewards=3A27AE16432C0F16,605DC9041C4FCD99",unchanged,restored baseline reward definitions and IDs,No existing reward ID changes item/XP meaning.
quest,174CF487FF7C3467,create_projects.snbt: Create Projects: Workshop to Railway / Gantry and Elevator Projects,title=Gantry and Elevator Projects; tasks=17B490056AA87AA3; rewards=2B3FDA538947881D,create_projects.snbt: Create: Build Machines With a Point / Gantry and Elevator Projects,title=Gantry and Elevator Projects; tasks=17B490056AA87AA3; rewards=2B3FDA538947881D,unchanged,preserved baseline definition,
quest,1885CF9658AB663D,welcome.snbt: WHERE THE FUCK DO I START? / Foreword: A World of Many Ages,title=Foreword: A World of Many Ages; tasks=17524EEC960B5C5A; rewards=70EA4736B4DFA356,"welcome.snbt: START HERE, YOU BEAUTIFUL NOOB / Foreword: A World of Many Ages",title=Foreword: A World of Many Ages; tasks=17524EEC960B5C5A; rewards=70EA4736B4DFA356,unchanged,restored baseline objective; placed as optional compatibility quest,The unrelated Create lesson now has a new quest/task/reward ID set.
quest,18C0AF7F5C17CAB7,welcome.snbt: WHERE THE FUCK DO I START? / How to Read the Field Guide,title=How to Read the Field Guide; tasks=5D7F3480331AF688; rewards=6591CA00ED66CA94,"welcome.snbt: START HERE, YOU BEAUTIFUL NOOB / How to Read the Field Guide",title=How to Read the Field Guide; tasks=5D7F3480331AF688; rewards=6591CA00ED66CA94,unchanged,preserved baseline definition,
quest,196B3D194E777B25,"archaeology.snbt: Fossils, Archaeology and Dinosaurs / Bounties, Artifacts and Relics","title=Bounties, Artifacts and Relics; tasks=49D0FCF793614F17; rewards=78C26799682F071C","archaeology.snbt: Brush First, Break Nothing / Bounties, Artifacts and Relics","title=Bounties, Artifacts and Relics; tasks=49D0FCF793614F17; rewards=78C26799682F071C",unchanged,preserved baseline definition,
quest,1A354ABA1BE5171F,create_basics.snbt: Create Without Having a Brain Aneurysm / Practical: Your First Production Line,"title=Practical: Your First Production Line; tasks=6A1726FE2716F17A; rewards=00A1BC229E245A15,45F7E7E2ECDE872C",create_basics.snbt: Create Without Having a Brain Aneurysm / Practical: Your First Production Line,"title=Practical: Your First Production Line; tasks=6A1726FE2716F17A; rewards=00A1BC229E245A15,45F7E7E2ECDE872C",unchanged,restored baseline reward definitions and IDs,No existing reward ID changes item/XP meaning.
quest,1A6A991626D30C95,create_projects.snbt: Create Projects: Workshop to Railway / Project: A Railway Is a Service,title=Project: A Railway Is a Service; tasks=20F86DBA128F519C; rewards=4FACFF489D900BC6,create_projects.snbt: Create: Build Machines With a Point / Project: A Railway Is a Service,title=Project: A Railway Is a Service; tasks=20F86DBA128F519C; rewards=4FACFF489D900BC6,unchanged,preserved baseline definition,
quest,1AC77EEB81F556DC,create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 2: Andesite Alloy,title=Lesson 2: Andesite Alloy; tasks=1A99AD36FC72DC2C; rewards=3F5C240C69E9A29A,create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 2: Andesite Alloy,title=Lesson 2: Andesite Alloy; tasks=1A99AD36FC72DC2C; rewards=3F5C240C69E9A29A,unchanged,preserved baseline definition,
quest,1B0AFC1161BEB7D1,create_projects.snbt: Create Projects: Workshop to Railway / Moving Contraptions Need Boundaries,title=Moving Contraptions Need Boundaries; tasks=51371A3ACE70B5CE; rewards=08861EDA564F8745,create_projects.snbt: Create: Build Machines With a Point / Moving Contraptions Need Boundaries,title=Moving Contraptions Need Boundaries; tasks=51371A3ACE70B5CE; rewards=08861EDA564F8745,unchanged,preserved baseline definition,
quest,1C1934734BDA5731,,,new_horizons.snbt: Leave Home Without Losing Home / Home Is Not a Useful Waystone Name,title=Home Is Not a Useful Waystone Name; tasks=600BAC715C7C79DE; rewards=24490AAC4F6F7E75,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,1C25B0A4AA8D4DE8,"dimension_campaigns.snbt: Expedition Campaigns: Aether, Twilight and Beyond / Aether: Build and Mark the Sky Gate",title=Aether: Build and Mark the Sky Gate; tasks=16DB0E106A3594A0; rewards=1744F182F45A64EE,"dimension_campaigns.snbt: Portals, Bosses and Poor Decisions / Aether: Build and Mark the Sky Gate",title=Aether: Build and Mark the Sky Gate; tasks=16DB0E106A3594A0; rewards=1744F182F45A64EE,unchanged,preserved baseline definition,
quest,1C6ED7E70D63D294,vehicles.snbt: Vehicles and Transport / Travel Lab: Commission a Small Ship,title=Travel Lab: Commission a Small Ship; tasks=7699061D84DA8060; rewards=59D47D9656C4BC66,"vehicles.snbt: Carts, Boats, Planes and OSHA Violations / Travel Lab: Commission a Small Ship",title=Travel Lab: Commission a Small Ship; tasks=7699061D84DA8060; rewards=59D47D9656C4BC66,unchanged,preserved baseline definition,
quest,1C77C9CAAD94A1D1,"dimension_campaigns.snbt: Expedition Campaigns: Aether, Twilight and Beyond / Otherside: Warden and Heart of the Deep",title=Otherside: Warden and Heart of the Deep; tasks=2DA00C24BEA2E3EF; rewards=71D41FEE59B460A4,"dimension_campaigns.snbt: Portals, Bosses and Poor Decisions / Otherside: Warden and Heart of the Deep",title=Otherside: Warden and Heart of the Deep; tasks=2DA00C24BEA2E3EF; rewards=71D41FEE59B460A4,unchanged,preserved baseline definition,
quest,1CA7ED993BDE8D70,new_horizons.snbt: Exploration Without Getting Completely Lost / Observe Wildlife,"title=Observe Wildlife; tasks=38EB569022867E3C,5BF4AE43FBA88EAE; rewards=241E2AAB85650BA3",new_horizons.snbt: Leave Home Without Losing Home / Observe Wildlife,"title=Observe Wildlife; tasks=38EB569022867E3C,5BF4AE43FBA88EAE; rewards=241E2AAB85650BA3",unchanged,preserved baseline definition,
quest,1D5C83E1EE00670C,create_projects.snbt: Create Projects: Workshop to Railway / Enchantment Industry: Handle Liquid Experience,title=Enchantment Industry: Handle Liquid Experience; tasks=6103EE179520BC63; rewards=34EF7BB7B7E66A3F,create_projects.snbt: Create: Build Machines With a Point / Enchantment Industry: Handle Liquid Experience,title=Enchantment Industry: Handle Liquid Experience; tasks=6103EE179520BC63; rewards=34EF7BB7B7E66A3F,unchanged,preserved baseline definition,
quest,1D926A7159BCD078,,,"companions_communities.snbt: Pets, Fish and Villagers With Jobs / This Is a Town, Not a CPU Benchmark","title=This Is a Town, Not a CPU Benchmark; tasks=5F106C84DE2C16A3; rewards=7A446EEC40E360C5",new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,1E4FFC70B08D7689,first_days.snbt: Surviving the First Night / Leave Yourself Clues,title=Leave Yourself Clues; tasks=41CA705364E827C6; rewards=7D96755589912CE6,"first_days.snbt: Day One: Bed, Bread, Don't Die / Leave Yourself Clues",title=Leave Yourself Clues; tasks=41CA705364E827C6; rewards=7D96755589912CE6,unchanged,restored baseline reward definitions and IDs,No existing reward ID changes item/XP meaning.
quest,1EB35AB64944D868,,,new_horizons.snbt: Leave Home Without Losing Home / Distant Horizons Is Not Free Real Estate,title=Distant Horizons Is Not Free Real Estate; tasks=73E7CA1560CC145A; rewards=32FBBCDCF81533F5,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,1F2F7FDA97C0DC94,create_basics.snbt: Create Without Having a Brain Aneurysm / Crushing Wheels: Make Them Face Each Other,title=Crushing Wheels: Make Them Face Each Other; tasks=02E9581D7974EAE9; rewards=60467A9D309284B5,create_basics.snbt: Create Without Having a Brain Aneurysm / Crushing Wheels: Make Them Face Each Other,title=Crushing Wheels: Make Them Face Each Other; tasks=02E9581D7974EAE9; rewards=60467A9D309284B5,unchanged,preserved baseline definition,
quest,213BA8647E82F355,first_days.snbt: Surviving the First Night / Block Families with Rechiseled,title=Block Families with Rechiseled; tasks=409E50188687DAAF; rewards=7A1915EA1A384ED0,"first_days.snbt: Day One: Bed, Bread, Don't Die / Block Families with Rechiseled",title=Block Families with Rechiseled; tasks=409E50188687DAAF; rewards=7A1915EA1A384ED0,unchanged,preserved baseline definition,
quest,220E3009357C8E56,,,create_projects.snbt: Create: Build Machines With a Point / Put an Off Switch on the Damn Thing,title=Put an Off Switch on the Damn Thing; tasks=69CC8124BE67CAAF; rewards=34398594347DD97B,new,assigned a new deterministic stable ID,Does not inherit baseline completion or claim state.
quest,2250D40C885B51F2,create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 4: Generate Rotation,title=Lesson 4: Generate Rotation; tasks=650E38A78D40120E; rewards=3EDCC96D8169F6DD,create_basics.snbt: Create Without Having a Brain Aneurysm / Lesson 4: Generate Rotation,title=Lesson 4: Generate Rotation; tasks=650E38A78D40120E; rewards=3EDCC96D8169F6DD,unchanged,preserved baseline definition,
quest,22B69CA315389C48,homestead.snbt: Food That Isn't Raw Chicken / The Covenant of the Hearth,title=The Covenant of the Hearth; tasks=796E0D069F7BE72A; rewards=411AEF2488ADE8A5,homestead.snbt: Cook Something That Isn't Raw Chicken / The Covenant of the Hearth,title=The Covenant of the Hearth; tasks=796E0D069F7BE72A; rewards=411AEF2488ADE8A5,unchanged,restored baseline objective; placed as optional compatibility quest,The unrelated Create lesson now has a new quest/task/reward ID set.
