"chapter","quest_id","title","mod_id","task_type","task_target","dependencies","optional","reward","verification_status","notes"
"Day One: Bed, Bread, Don't Die","3BC686C3FBF1D35F","Stone and Steel","minecraft","item","","18C0AF7F5C17CAB7","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","54C781F3CD01DB25","An Iron Foundation","minecraft","item","minecraft:iron_ingot","3BC686C3FBF1D35F","False","item + xp + minecraft:coal","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","472E57FDA26EA8F4","A Portable Rest","comforts","item","comforts:sleeping_bag_white","54C781F3CD01DB25","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","1E4FFC70B08D7689","Leave Yourself Clues","minecraft","item","","472E57FDA26EA8F4","False","item + minecraft:torch","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","71F06FC804030460","Carry On","minecraft","checkmark","","1E4FFC70B08D7689","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","2C1F26BCE19B7C54","Timber!","minecraft","item","","71F06FC804030460","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","6A4A0BB2F9D111AB","From Spawn to Settlement","minecraft","checkmark","","2C1F26BCE19B7C54","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","341C28816B831FA9","Build for a Healthy World","minecraft","checkmark","","6A4A0BB2F9D111AB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Day One: Bed, Bread, Don't Die","46CFCE08506A17DA","Small Details, Big Difference","beautify","item","beautify:botanist_workbench + beautify:bookstack + beautify:oak_trellis","341C28816B831FA9","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Day One: Bed, Bread, Don't Die","213BA8647E82F355","Block Families with Rechiseled","rechiseled","item","rechiseled:chisel","341C28816B831FA9","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Day One: Bed, Bread, Don't Die","412CFFA41438F5DF","Congratulations, You Made a Corpse","minecraft","checkmark","","2E34979BCE044BF5","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Day One: Bed, Bread, Don't Die","3A0359D5C6505953","Signs: Cheaper Than Telepathy","minecraft","checkmark","","341C28816B831FA9","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Day One: Bed, Bread, Don't Die","288920C21D0E1C03","Why Is My Lantern Doing That?","minecraft","checkmark","","46CFCE08506A17DA","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Day One: Bed, Bread, Don't Die","3AE4267A37DE1B7E","Build a Palette Before a Palace","minecraft","checkmark","","46CFCE08506A17DA + 213BA8647E82F355","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Wizard Shit Without Wasting 47 Levels","56791EFEB7941CF8","Better Enchanting","minecraft","item","minecraft:enchanting_table + minecraft:bookshelf","54C781F3CD01DB25","False","item + xp + minecraft:lapis_lazuli","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","3B5E7701107D99B9","Matrix Enchanting: Generate and Place Pieces","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","56791EFEB7941CF8","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","27E0729B8A8349F6","Merge Matching Pieces Instead of Chasing Perfect Rolls","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","3B5E7701107D99B9","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","74A2F32D229F47BD","Steer the Matrix with Coloured Candles","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","27E0729B8A8349F6","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","3C93B0EB6DFD20CF","Books, Treasure Enchantments and Honest Limits","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","74A2F32D229F47BD","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","063A59CCA4DD3620","Repair and Rename","minecraft","item","minecraft:anvil","3C93B0EB6DFD20CF","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","7BD8DEC5AB2F1862","Combine Books in a Sensible Order","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","063A59CCA4DD3620","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","48485EFD8ED622AA","Grindstone First, Disenchanter Later","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","7BD8DEC5AB2F1862","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Wizard Shit Without Wasting 47 Levels","32783418D0A32007","Project: Build a Public Armoury","quark + easymagic + easyanvils + create_enchantment_industry","checkmark","","48485EFD8ED622AA + 5A53AAEC0E3B4B96","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Cook Something That Isn't Raw Chicken","1725341D3243AFDD","A Cook's First Tool","farmersdelight + integrations","item","","18C0AF7F5C17CAB7","False","item + xp + minecraft:wheat_seeds","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","4CE08428A26650E2","Use the Cutting Board","farmersdelight","item","farmersdelight:cutting_board","1725341D3243AFDD","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","60435D16835B3DCE","A Proper Kitchen Garden","farmersdelight","item","farmersdelight:cabbage + farmersdelight:onion + farmersdelight:tomato + farmersdelight:rice","4CE08428A26650E2","False","item + xp + minecraft:bone_meal","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","2AD044CDEA61410E","Cooking Pot Meals","farmersdelight","item","farmersdelight:cooking_pot + farmersdelight:stove","60435D16835B3DCE","False","item + xp + minecraft:bowl","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","3C9A949E21E73BD7","Build a Working Kitchen","cookingforblockheads","item","cookingforblockheads:cooking_table + cookingforblockheads:oven + cookingforblockheads:fridge","2AD044CDEA61410E","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","36D9A2651A27AA32","Feed the Whole Team","farmersdelight","item","farmersdelight:hamburger + farmersdelight:beef_stew + farmersdelight:apple_pie","3C9A949E21E73BD7","False","item + xp + minecraft:golden_carrot","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","000927068CCE0DB0","Seasons, Soil and Surplus","farmersdelight + integrations","checkmark","","36D9A2651A27AA32","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","0D4B75EF5618911F","Create: Central Kitchen","farmersdelight + integrations","checkmark","","000927068CCE0DB0","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","7F45F36FB147AD0A","Slice and Dice","farmersdelight + integrations","checkmark","","0D4B75EF5618911F","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Cook Something That Isn't Raw Chicken","64AC9DE8013767BD","Find Tea in the Wild","herbalbrews","item","herbalbrews:green_tea_leaf + herbalbrews:tea_blossom","60435D16835B3DCE","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Cook Something That Isn't Raw Chicken","71BB70B3127ECE00","Begin with Vanilla Bees","minecraft","item","minecraft:beehive + minecraft:honeycomb + minecraft:honey_bottle","000927068CCE0DB0","True","item + xp + minecraft:campfire","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Cook Something That Isn't Raw Chicken","519A57FD0FD737F9","Catch, Don't Kill","productivebees","item","productivebees:bee_cage + productivebees:sturdy_bee_cage","71BB70B3127ECE00","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Cook Something That Isn't Raw Chicken","22B69CA315389C48","The Covenant of the Hearth","farmersdelight + integrations","checkmark","","7F45F36FB147AD0A","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Farm, Kitchen, Bees: Feed the Damn Server","0F5C0AE2E2539C09","Three Homestead Loops","farmersdelight + sereneseasons + productivebees","checkmark","","3C9A949E21E73BD7","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","4D51231CEEAE0057","Read the Season Before Planting","farmersdelight + sereneseasons + productivebees","checkmark","","0F5C0AE2E2539C09","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","4FD0E91CC974DE62","Build Fields That Survive the Calendar","farmersdelight + sereneseasons + productivebees","checkmark","","4D51231CEEAE0057","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","2914A1154A421301","Cooking for Blockheads Is a Kitchen Network","farmersdelight + sereneseasons + productivebees","checkmark","","4FD0E91CC974DE62","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","3D9E92F6B622F37A","The Farmer's Delight Toolkit","farmersdelight + sereneseasons + productivebees","checkmark","","2914A1154A421301","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","6CC6E43A2F4873C6","Prep Ingredients on the Cutting Board","farmersdelight + sereneseasons + productivebees","checkmark","","3D9E92F6B622F37A","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","339A912B4286B1AD","Cook a Repeatable Team Meal","farmersdelight + sereneseasons + productivebees","checkmark","","6CC6E43A2F4873C6","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","0DDB86BC1BAE3C6D","Run a Pantry, Not a Dump Chest","farmersdelight + sereneseasons + productivebees","checkmark","","339A912B4286B1AD","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","490BECED560C2CBB","Slice and Dice: Automate the Cutting Board","farmersdelight + sereneseasons + productivebees","checkmark","","0DDB86BC1BAE3C6D","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","30E0E9CB591566C9","Sprinklers and Fertilizer Need Limits","farmersdelight + sereneseasons + productivebees","checkmark","","490BECED560C2CBB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","13829BF6355D8FAC","Central Kitchen: Heat and Compatibility","farmersdelight + sereneseasons + productivebees","checkmark","","30E0E9CB591566C9","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","4470883A69E1BC65","Project: One Meal from Field to Crate","farmersdelight + sereneseasons + productivebees","checkmark","","13829BF6355D8FAC","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","4EC84C1E569D6AC0","Beekeeping Starts with Vanilla Safety","farmersdelight + sereneseasons + productivebees","checkmark","","0F5C0AE2E2539C09","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","069B444CF7840537","Productive Bees: Nests, Cages and Roles","farmersdelight + sereneseasons + productivebees","checkmark","","4EC84C1E569D6AC0","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","2DA958214FC07C0B","Advanced Hives Need the Right Flower","farmersdelight + sereneseasons + productivebees","checkmark","","069B444CF7840537","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","347C1FEFFA63275C","Breed One Useful Bee Deliberately","farmersdelight + sereneseasons + productivebees","checkmark","","2DA958214FC07C0B","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","2A307A4BE06391EB","Turn Combs into Stored Resources","farmersdelight + sereneseasons + productivebees","checkmark","","347C1FEFFA63275C","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","315365C6389CA4C1","Project: A Compact Responsible Apiary","farmersdelight + sereneseasons + productivebees","checkmark","","2A307A4BE06391EB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Farm, Kitchen, Bees: Feed the Damn Server","7A1CF3436F8631A0","Rice Is Wet, Not Broken","farmersdelight + sereneseasons + productivebees","checkmark","","60435D16835B3DCE","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Farm, Kitchen, Bees: Feed the Damn Server","3F18FD6E9FFA3E12","Winter Is Coming; Your Pantry Is Empty","farmersdelight + sereneseasons + productivebees","checkmark","","4FD0E91CC974DE62","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Farm, Kitchen, Bees: Feed the Damn Server","49FCE6D80C866284","Label the Bee or Enjoy Mystery Insects","farmersdelight + sereneseasons + productivebees","checkmark","","069B444CF7840537","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Create Without Having a Brain Aneurysm","4201CE5BFBBC062D","Lesson 1: Ponder Before Building","create + installed addons","checkmark","","18C0AF7F5C17CAB7","False","item + xp + create:wrench","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","1AC77EEB81F556DC","Lesson 2: Andesite Alloy","create","item","create:andesite_alloy","4201CE5BFBBC062D","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","09CB7E54442B5B87","Lesson 3: Wrench and Goggles","create","item","create:goggles + create:wrench","1AC77EEB81F556DC","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","2250D40C885B51F2","Lesson 4: Generate Rotation","create","item","create:water_wheel","09CB7E54442B5B87","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","2990526585709C54","Power Beyond the First Water Wheel","create + installed addons","checkmark","","2250D40C885B51F2","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","0D9196F06BAA6EB5","Lesson 5: Shafts, Cogs and Gearboxes","create","item","create:shaft + create:cogwheel + create:large_cogwheel + create:gearbox","2990526585709C54","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","653A5307BAFA7BE8","Lesson 6: Speed Is Not Power","create + installed addons","checkmark","","0D9196F06BAA6EB5","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","4164748FA85EDE6A","Lesson 8: The Mechanical Press","create","item","create:mechanical_press + create:depot","653A5307BAFA7BE8","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","3119C51ADD982ABF","Lesson 9: Process with Air","create","item","create:encased_fan","4164748FA85EDE6A","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","449599EDF06A1DB9","Lesson 10: Mixing in a Basin","create","item","create:mechanical_mixer + create:basin","3119C51ADD982ABF","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","069DD3EFDF3EF83F","Create Food Addons: Kitchen to Factory","create + installed addons","checkmark","","449599EDF06A1DB9 + 7F45F36FB147AD0A","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","1F2F7FDA97C0DC94","Crushing Wheels: Make Them Face Each Other","create + installed addons","checkmark","","069DD3EFDF3EF83F","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","0868E133B828D769","Saws Cut; Drills Break","create + installed addons","checkmark","","1F2F7FDA97C0DC94","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","7B0C1910CB444EA6","Lesson 11: Move Items Deliberately","create","item","create:belt_connector + create:andesite_funnel + create:chute + create:filter","0868E133B828D769","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","1A354ABA1BE5171F","Practical: Your First Production Line","create + installed addons","checkmark","","7B0C1910CB444EA6","False","item + xp + minecraft:iron_ingot","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","4EAA9A43A9020901","Diagnosing a Silent Machine","create + installed addons","checkmark","","1A354ABA1BE5171F","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create Without Having a Brain Aneurysm","3C8A246AFBC5BCB3","Enter the Brass Age","create","item","create:brass_ingot","4EAA9A43A9020901","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Create Without Having a Brain Aneurysm","6C2795B621514EE3","Mechanical Crafting","create","item","create:mechanical_crafter","3C8A246AFBC5BCB3","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Create Without Having a Brain Aneurysm","40B5E1218A0226CD","Lay the Railway","create","item","create:track + create:railway_casing","6C2795B621514EE3","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Create Without Having a Brain Aneurysm","579F2C00A9B13FE7","Make Trains Useful","create","item","create:schedule","40B5E1218A0226CD","True","xp","definition_valid; automated_task_target_pending_runtime_client_test","Optional side quest."
"Create Without Having a Brain Aneurysm","5A53AAEC0E3B4B96","Enchantment Industry: Liquid Experience","create + installed addons","checkmark","","3C8A246AFBC5BCB3","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Create Without Having a Brain Aneurysm","71CEDD5D336CCB38","The Andesite Tinkerers","create + installed addons","checkmark","","4EAA9A43A9020901","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Create: Build Machines With a Point","0B9BA6881B25E26D","Build Outcomes, Not Machine Collections","create + installed addons","checkmark","","4EAA9A43A9020901","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","012874F9C3DFCEA0","Measure Rotation Before Expanding","create + installed addons","checkmark","","0B9BA6881B25E26D","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","6E0DD96DC831FFF7","Design a Serviceable Power Room","create + installed addons","checkmark","","012874F9C3DFCEA0","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","37E135DD266BF9AB","Every Machine Needs a Contract","create + installed addons","checkmark","","6E0DD96DC831FFF7","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","27807E4E2044E0C3","Project: Wash or Crush One Ore Stream","create + installed addons","checkmark","","37E135DD266BF9AB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","64B605112FF7DD08","Project: A Tree Farm You Can Stop","create + installed addons","checkmark","","37E135DD266BF9AB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","3B2441703B392B4D","Project: Connect the Kitchen Carefully","create + installed addons","checkmark","","37E135DD266BF9AB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","1B0AFC1161BEB7D1","Moving Contraptions Need Boundaries","create + installed addons","checkmark","","37E135DD266BF9AB","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","597055F2C4E8DEA0","Chassis and Super Glue Define the Machine","create + installed addons","checkmark","","1B0AFC1161BEB7D1","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","174CF487FF7C3467","Gantry and Elevator Projects","create + installed addons","checkmark","","597055F2C4E8DEA0","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","76BECD762F36D0C1","Mechanical Arms Need Clear Destinations","create + installed addons","checkmark","","37E135DD266BF9AB + 6C2795B621514EE3","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Create: Build Machines With a Point","09CAEB4B14628764","Packagers Turn Stock into Deliveries","create + installed addons","checkmark","","37E135DD266BF9AB + 0AD1A0CD97148618","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
